Date,Title,Description
"April 29, 2020, Wednesday",Indian Bank sees new opportunities with larger footprint after merger,Both the banks have come together amid the coronavirus (Covid-19) lockdown and started working as a single bank with a larger ...
"April 28, 2020, Tuesday","Over Rs 68,600-crore loans of wilful defaulters written off, says RBI","The write-offs are technical or prudential in nature, which means the banks have made 100 per cent provisions against the loans"
"April 28, 2020, Tuesday","Promoter, PE stake may go up in private banks; IndusInd, HDFC Bank to gain",Lenders are staring at unexpected asset quality losses due to the slowdown in economic activity after the countrywide lockdown.
"April 28, 2020, Tuesday","Axis Bank set to acquire 29% stake in Max Life Insurance for Rs 1,592 crore","Axis is looking to purchase around 55.61 crore shares of Max Life Insurance at a price of Rs 28.61 per share, but the estimate ..."
"April 28, 2020, Tuesday","Banks borrow Rs 2,000 crore from RBI under mutual fund liquidity window","The special repo window, under which banks can borrow up to 90 days to extend loans or buy debt papers of MFs, remains open till ..."
"April 28, 2020, Tuesday","RBI opens Rs 50,000-crore special liquidity window to support mutual funds","According to the available data, the credit risk fund category saw its assets under management (AUM) dip by another 12 per cent ..."
"April 28, 2020, Tuesday",Credit disbursement: Banks face pressure to avoid large-scale slippages,Public sector bank executives point out that banks understand the need to provide critical support to borrowers hit by the ...
"April 27, 2020, Monday",IndusInd Bank reports 18% yoy dip in pre-tax profits; sequentially down 76%,"The lender reported a 45 per cent jump in net interest income at Rs 3,232 crore in Q4 FY20"
"April 27, 2020, Monday","RBI buys and sells bonds worth Rs 10,000 crore in 'Operation Twist'",Bid and offer pattern shows a healthy market response
"April 27, 2020, Monday",YES Bank scam: CBI gets custody of Kapil and Dheeraj Wadhawan till April 29,"The duo was arrested on Sunday from a Mahabaleshwar-based quarantine facility, nearly 50 days after they were booked in the case ..."
"April 27, 2020, Monday",Govt needs clear 'entry and exit plan' on fiscal expansion: Shaktikanta Das,"Banks unwilling to take on credit risk in their balance sheets beyond a point, says central bank governor"
"April 27, 2020, Monday","RBI to open Rs 50,000-cr special liquidity window to support mutual funds",The liquidity strains have intensified in the wake of redemption pressures related to closure of some debt MFs and potential ...
"April 27, 2020, Monday",NBFCs' foreign lenders face repayment risks as US dollar becomes stronger,"Covid has caused disruption in the domestic and global markets, enhancing the risk of default from the rise in cost of repayments ..."
"April 26, 2020, Sunday",IBA demands recast of loan accounts of small firms amid Covid-19 crisis,The RBI had permitted a one-time restructuring of existing loans to GST-registered MSME units
"April 24, 2020, Friday","From Tata Power to TVS, over 320 firms queue up for moratorium breather","Piramal, Tata Power, and TVS group units figure in list"
"April 24, 2020, Friday","After pay cuts in corporate sector, youth look to P2P platforms for loans","With no upper limit, interest rates in this sphere can go as high as 35 per cent. However, even with high interest rates, many ..."
"April 24, 2020, Friday",Forward premia slide as markets see dollar crunch despite crude oil mayhem,The forward premium comes down when the demand for the spot is more than the future dollar
"April 24, 2020, Friday",Covid-19 crisis: SBI to disburse Rs 700 cr to MSMEs in Mumbai by June,"Among all banks, SBI controls a market share of 22% in the MSME lending"
"April 23, 2020, Thursday",Currency in circulation continues to remain high amid Covid-19 lockdown,"Currency in circulation (CIC), in the fortnight ended April 10 stood at Rs 49,554.30 crore"
"April 23, 2020, Thursday",Coronavirus impact: RBI's TLTRO 2.0 gets cold-shoulder from banks,"Reluctant to lend to NBFCs, MFIs in current situation"
"April 23, 2020, Thursday","Govt pushes lending, asks banks for daily reports of loans allowed: Report","The finance ministry, in a letter dated April 17 and seen by Reuters, asked banks to furnish detailed data on new loans, ..."
"April 23, 2020, Thursday",Weak economic outlook to give small finance banks more time to get listed,"Five small finance banks, including Equitas SFB, are due for listing by 2021"
"April 23, 2020, Thursday",Covid-19 impact: Banks ignore RBI's TLTRO in order to avoid NBFC exposure,"The latest auction was part of the TLTRO 2.0, through which RBI had planned to infuse up to Rs 50,000 crore, to begin with."
"April 23, 2020, Thursday",MFIN may pool securities to access funds for small MFIs under TLTRO 2.0,Credit enhancement would entail guarantee from bigger institutions in case of defaults up to a certain percentage
"April 23, 2020, Thursday","Sidbi to provide liquidity support to NBFCs, MFIs with 90-day term loans","NBFCs and MFIs have been hit on two fronts, with collections dipping due to the covid-19 lockdown, and the three-month moratorium ..."
"April 23, 2020, Thursday","RBI to buy and sell Rs 10,000 cr in bonds to manage its balance sheet","According to the latest available figures, the Reserve Bank of India had about Rs 9 trillion worth of bonds on its books"
"April 23, 2020, Thursday","Quick approval, grace period: Medical insurance process eased amid Covid-19",Use instalments to increase cover; benefit from quick approvals
"April 23, 2020, Thursday",Arrears' collection will be tricky,We need to understand the nature of the astronomical tax arrears' figure of Rs 9 trillion
"April 23, 2020, Thursday",HFCs: Home alone,'The burden of unsold inventory of over half a million housing units in the top 7 cities will worsen due to impact of the ...
"April 23, 2020, Thursday",NBFCs may fall by the wayside without a major forbearance package,"Even after the Reserve Bank of India 'permitted' banks to offer a three-month moratorium to borrowers (of all hues), NBFCs ..."
"April 22, 2020, Wednesday","RBI asks banks to continue with incentives on crop loans, govt to foot bill",Many farmers couldn't visit banks to pay dues on short-term crop loans in the wake of the Covid-19 lockdown and restrictions on ...
"April 21, 2020, Tuesday","Fearing NPAs, banks shoot off notices to malls for loan repayment",Banks want tenants to make payment in escrow accounts
"April 21, 2020, Tuesday",HDFC cuts prime lending rate by 15 bps; move to benefit home loan customers,The reduction in rate comes after the RBI provided a boost to the banking system through its policy measures and also introduced ...
"April 21, 2020, Tuesday",RBI extends deployment time limit to 45 days from 30 under TLTRO 2.0,The extension has been granted based on the feedback received from banks and taking into account the disruptions caused by ...
"April 21, 2020, Tuesday",ICICI Bank confirms exposure to Singapore-based oil trader Hin Leong,The Bank did not elaborate the extent of its exposure and the steps it is taking to protect its interest
"April 21, 2020, Tuesday",Singapore's Caladium ups stake at Bandhan Bank by 1% via market purchases,It now holds 72 million shares in the lender
"April 21, 2020, Tuesday",Moratorium may lead to greater build-up of credit losses for banks: Moody's,"Asia's banking sector profitability will also decline from deteriorating asset quality and lower net interest margins, said ..."
"April 21, 2020, Tuesday",ICICI Bank seeks impounding of ships operated by HLT unit Ocean Tankers,"The tankers, Wu Yi San and Chang Bai San, were carrying cargoes financed by ICICI, the source said, adding the bank had about ..."
"April 20, 2020, Monday",RBI's liquidity support to NBFCs negligible: Emkay Global Research,The RBI has so far not provided any clarity on whether banks will grant moratorium to the shadow lenders on the loans they have ...
"April 20, 2020, Monday",Covid-19 impact: RBI increases centre's WMA limit sharply to Rs 2 trillion,Ways and means advances (WMA) are temporary liquidity line given by the central bank to the government to meet short-term ...
"April 20, 2020, Monday","Covid-19: Post paycuts, young salaried look up to P2P platforms for loans","With no upper limit, the interest rates in the platform can go as high as 35 per cent, on a reducing balance"
"April 20, 2020, Monday",Brookfield's equity infusion crucial for Indostar Capital in Q1 FY21: CARE,"Besides challenges faced by wholesale NBFC in particular, the credit costs (amount to be provided for stressed assets), are ..."
"April 20, 2020, Monday",NBFCs stare at 30-70% fall in FY21 earnings due to coronavirus pandemic,"According to an Edelweiss report, Rs 1 trillion non-convertible dentures (NCDs) and Rs 1.2 trillion commercial papers (CPs) are ..."
"April 19, 2020, Sunday",Kotak Mahindra Bank to consider raising equity capital,"On a standalone basis, as of December quarter, the lender had a capital adequacy ratio of 18.2 per cent, with tier 1 capital at ..."
"April 19, 2020, Sunday","Nabard to review fundings of Regional Rural Banks, co-op banks on April 20",To tap RBI refinance window for funding to RRBs etc
"April 19, 2020, Sunday",Reopening of services to depend on permission from local authorities: NBFCs,"Although the government has allowed NBFCs, HFCs to start operations, they have not allowed resumption of operations in hotspots ..."
"April 19, 2020, Sunday",RBI may cap reverse repo rate to ensure liquidity translates into credit,Lenders to face central bank's censure; board meet in May seen leading to fresh measures
"April 19, 2020, Sunday","RBI moratorium: 10% provisioning may shave Rs 35,000 cr off bank profits",Banks will have to categorise the moratorium loans as special mention accounts (SMA) wherein loans are in the 0-90 days overdue ...
"April 19, 2020, Sunday",RBI's steps for NBFCs may not boost credit flow to broader economy: Moody's,"On Friday, the RBI said it will conduct the second tranche of targeted long-term repo operation (TLTRO 2.0) for an aggregate ..."
"April 18, 2020, Saturday","HDFC Bank board finalises Aditya Puri's successor, waits for RBI nod",It is one of the most coveted jobs in the Indian banking sector and market watchers are keenly awaiting who will be the chosen ...
"April 18, 2020, Saturday",Punjab & Sind Bank declares Golden Jubilee Hotels as fraud account,"Golden Jubilee Hotels Pvt Ltd is a public-private partnership (PPP) with the Department of Tourism and Youth Advancement, Tourism ..."
"April 18, 2020, Saturday",Covid-19 crisis: Each bank to decide on granting moratorium to NBFCs,"However, there was no clarity on whether the finance companies that borrow from banks would get the option to delay payments to ..."
"April 18, 2020, Saturday","HDFC Banks' PBT rises 2.5% to Rs 9,174 crore; makes higher provisions","It had reported a pre-tax profit of Rs 8,954.38 crore in the same period last financial year (Q4FY19)."
"April 18, 2020, Saturday",IBA to discuss the issue of giving a moratorium to NBFCs on Saturday,A senior executive of a public sector bank said the IBA's management committee meeting would discuss the issue of giving a ...
"April 17, 2020, Friday",RBI gives NBFCs more time to restructure commercial real estate loans,"Unless demand revives, industry experts say the move may not be very effective"
"April 17, 2020, Friday",Muthoot Finance to re-open all branches across India from April 20,The branches will function as usual and will adhere to all instructions laid down by the state governments for corporates ...
"April 17, 2020, Friday","RBI promises liquidity support to NBFCs, MFIs dealing with cashflow issues",RBI has put the ball in banks' court on the moratorium issue
"April 17, 2020, Friday","Covid-19: MSMEs cautiously welcome RBI measures, exporters want more",Calls for economic package for distressed sectors continue
"April 17, 2020, Friday","RBI steps increase lending, but sector-specific package must: Bankers",RBI by reducing reverse repo rate by 25 basis points has sent clear signals to deploy that money - either by investing markets ...
"April 17, 2020, Friday","RBI has made life a bit easier for NBFCs, MFIs amid Covid-19 pandemic","The RBI has indicated that it expects inflation to come down by September, which means that more rate cuts are in the offing"
"April 17, 2020, Friday","RBI measures sufficient, not substantial; Guv doing balancing act: Experts","RBI governor is walking a tightrope, says a former chief statistician"
"April 17, 2020, Friday","Covid-19: RBI slashes reverse repo rate by 25 bps, no change in repo rate","Earlier, the RBI had reduced the repo rate to a 15-year low of 4.40 per cent by announcing a steep cut of 75 basis points on ..."
"April 16, 2020, Thursday",Covid-19 impact: Banks raise concern over fresh NPAs of Rs 50K crore,"The banks are expected to start credit operations from April 20, in a bid to help a staggered restart of the economic activities"
"April 16, 2020, Thursday",Default-wary banks say won't use RBI funds for low-rated companies,"The first TLTRO facility took place on March 27, and so far Rs 1 trillion has already been deployed."
"April 15, 2020, Wednesday",Lenders want more time to finalise working capital needs of large firms,"A senior State Bank of India (SBI) executive said in the case of large corporates, where there is consortium and social banking, ..."
"April 15, 2020, Wednesday",Decoding the bullishness on ICICI Bank as other lenders follow caution,"All analysts tracking it are optimistic on the stock, which hasn't seen any downgrade so far"
"April 15, 2020, Wednesday",Banks to seek extension of moratorium on loan repayments beyond June,CII has sought an increase in credit limits for all regular banking accounts by 25 per cent
"April 14, 2020, Tuesday","Covid-19 outbreak, YES Bank rescue make small banks vulnerable: Moody's","Public trust in public sector banks will remain strong, underpinned by a perception of strong government protection for them, ..."
"April 14, 2020, Tuesday","RBI wants banks to take call on package, moratorium extension for NBFCs","The approach, according to people familiar with the RBI, is that the regulator can only enable the banks to take such commercial ..."
"April 14, 2020, Tuesday",Indian banks issue gag orders to employees over overcrowding: Reports,"Some branch staff have complained on social media of the difficulty in imposing social distancing in such conditions, earning a ..."
"April 14, 2020, Tuesday",Low consumption deepens SBI Cards' woes as Covid-19 lockdown gets extended,Worsening business conditions and sell-off by anchor investors have taken the stock southward
"April 14, 2020, Tuesday",Private lenders may lose deposits to PSBs due to YES Bank bailout: Report,"Moody's said the Yes Bank episode places the country's financial system on ""alert"" and the rescue in itself ""exposes weaknesses ..."
"April 14, 2020, Tuesday",Covid-19 impact: Moody's takes rating action on three Indian NBFCs,Muthoot Finance's Ba2 CFR is affirmed and its outlook changed to negative from stable.
"April 13, 2020, Monday",NBFC association to RBI: One-time loan restructuring need of the hour,FIDC has asked the central bank to extend the facility to all customer loans
"April 13, 2020, Monday",ADB triples financial aid for members to $20 billion to fight virus,The Asian Development Bank said it has also approved measures to streamline its operations for quicker and more flexible delivery ...
"April 13, 2020, Monday",Deposits from microbanking customers continue to be strong: Bandhan Bank,"The company's collection efficiency pan-India for the period from January 1, 2020 till March 21, 2020 stands at 98.7 per cent"
"April 13, 2020, Monday","Max Life Insurance, YES Bank extend bancassurance partnership for 5 years",Max Life Insurance is a joint venture between Max Financial Services Ltd and Mitsui Sumitomo Insurance
"April 13, 2020, Monday",Bandhan Bank's FY20 deposits rise 32%; 60% jump in loans and advances,"Loans and advances jumped by 60 per cent to Rs 71,825 crore during 2019-20, from Rs 44,776 crore the year before."
"April 12, 2020, Sunday",China central bank hikes stake in HDFC amid a sharp correction in shares,Sources say PBoC may have increased its stake by 0.2 percentage points in March
"April 12, 2020, Sunday",RBI to tighten private banks' succession planning with stricter timeline,Ironclad succession process could weigh on extensions for current heads
"April 12, 2020, Sunday","Post merger, PNB gets Irdai nod to retain stake in two life insurance cos",PNB also has a tie up with Life Insurance Corporation of India (LIC) for selling its products through the bank's branches
"April 11, 2020, Saturday",RBI should start buying corporate bonds to provide liquidity: Deepak Parekh,"According to him, interest rates will go down further, but banks must pass them on to companies."
"April 11, 2020, Saturday",Covid-19 woes: NBFC sector staring at another bout of liquidity challenge,Most banks are yet to decide on giving moratorium to shadow lenders
